Project_ID,Department_ID,Project_Name,Start_Date,End_Date,Budget,Actual_Cost,Status
PRJ001,D008,Website Revamp 1,2025-10-14,2026-03-12,2150000,2020000,Completed
PRJ002,D008,Security Enhancement 2,2025-04-06,2025-05-30,750000,600000,Completed
PRJ003,D001,Automation Initiative 3,2025-07-22,2026-12-31,2250000,2050000,Running
PRJ004,D001,Automation Initiative 4,2025-09-28,2025-11-13,900000,870000,Completed
PRJ005,D001,Security Enhancement 5,2025-08-26,2025-12-17,2950000,2660000,Completed
PRJ006,D004,Compliance Audit 6,2025-05-31,2025-11-04,550000,590000,Completed
PRJ007,D007,Security Enhancement 7,2025-10-10,2026-12-31,1300000,1190000,Running
PRJ008,D005,Cloud Migration 8,2025-01-16,2025-03-04,600000,630000,Completed
PRJ009,D005,ERP Upgrade 9,2025-07-17,2025-09-02,2450000,0,Cancelled
PRJ010,D004,CRM Rollout 10,2025-04-18,2025-05-31,2550000,2640000,Completed
PRJ011,D002,Cloud Migration 11,2025-10-17,2026-12-31,1150000,1170000,Running
PRJ012,D005,Cloud Migration 12,2025-06-20,2025-07-23,2700000,0,Cancelled
PRJ013,D003,Data Warehouse 13,2025-05-07,2025-07-01,1750000,2000000,Completed
PRJ014,D003,CRM Rollout 14,2025-10-14,2025-12-31,900000,820000,Completed
PRJ015,D007,Compliance Audit 15,2025-03-01,2025-07-10,950000,760000,Completed
PRJ016,D005,ERP Upgrade 16,2025-01-11,2025-04-04,2200000,1910000,Completed
PRJ017,D003,HRMS Implementation 17,2025-04-20,2025-09-10,2750000,3150000,Completed
PRJ018,D005,ERP Upgrade 18,2025-07-17,2025-09-03,950000,910000,Completed
PRJ019,D006,Automation Initiative 19,2025-07-10,2025-12-03,2150000,2470000,Completed
PRJ020,D003,Automation Initiative 20,2025-07-17,2026-12-31,1250000,1150000,Running
PRJ021,D004,CRM Rollout 21,2025-04-08,2026-12-31,2050000,1940000,Running
PRJ022,D008,Security Enhancement 22,2025-02-10,2025-06-27,600000,480000,Completed
PRJ023,D005,Data Warehouse 23,2025-05-03,2025-09-10,2900000,3270000,Completed
PRJ024,D005,Marketing Campaign 24,2025-09-24,2025-12-07,500000,450000,Delayed
PRJ025,D008,Cloud Migration 25,2025-10-14,2025-12-01,950000,760000,Completed
PRJ026,D005,Compliance Audit 26,2025-07-30,2025-12-21,400000,370000,Completed
PRJ027,D006,HRMS Implementation 27,2025-09-29,2026-03-24,550000,0,Cancelled
PRJ028,D003,Automation Initiative 28,2025-08-19,2026-12-31,2500000,2800000,Running
PRJ029,D003,Compliance Audit 29,2025-01-18,2025-02-21,1400000,1670000,Completed
PRJ030,D001,HRMS Implementation 30,2025-01-11,2025-03-01,2600000,2530000,Completed
PRJ031,D003,ERP Upgrade 31,2025-02-07,2025-03-28,1450000,1710000,Completed
PRJ032,D003,Cloud Migration 32,2025-06-24,2025-10-22,1800000,2140000,Completed
PRJ033,D007,CRM Rollout 33,2025-01-16,2025-06-22,2250000,2400000,Completed
PRJ034,D001,CRM Rollout 34,2025-02-06,2025-03-28,650000,620000,Completed
PRJ035,D006,Security Enhancement 35,2025-07-18,2026-01-12,1750000,2050000,Completed
PRJ036,D002,Data Warehouse 36,2025-09-23,2026-03-03,2200000,1860000,Completed
PRJ037,D001,Compliance Audit 37,2025-04-28,2025-06-25,2250000,2550000,Completed
PRJ038,D001,Security Enhancement 38,2025-07-08,2025-10-23,2250000,2100000,Completed
PRJ039,D003,CRM Rollout 39,2025-06-25,2025-11-15,1050000,1090000,Completed
PRJ040,D005,Marketing Campaign 40,2025-04-12,2025-08-30,2700000,2460000,Delayed
PRJ041,D007,Website Revamp 41,2025-04-23,2025-10-19,950000,860000,Delayed
PRJ042,D008,Cloud Migration 42,2025-06-29,2026-12-31,1150000,1020000,Running
PRJ043,D008,CRM Rollout 43,2025-08-30,2025-12-08,2950000,3010000,Delayed
PRJ044,D008,Compliance Audit 44,2025-06-11,2025-11-03,2950000,2410000,Completed
PRJ045,D001,ERP Upgrade 45,2025-05-24,2025-11-16,2350000,2780000,Completed
PRJ046,D003,Marketing Campaign 46,2025-07-27,2025-12-20,2750000,2600000,Completed
PRJ047,D003,HRMS Implementation 47,2025-01-25,2025-03-25,2300000,2690000,Completed
PRJ048,D002,ERP Upgrade 48,2025-04-12,2025-07-02,1100000,980000,Delayed
PRJ049,D008,Security Enhancement 49,2025-10-01,2025-11-09,1150000,1170000,Completed
PRJ050,D003,Website Revamp 50,2025-07-21,2025-10-16,2600000,2680000,Completed
PRJ051,D008,Security Enhancement 51,2025-08-21,2026-12-31,300000,290000,Running
PRJ052,D006,Cloud Migration 52,2025-08-26,2026-12-31,950000,810000,Running
PRJ053,D004,Security Enhancement 53,2025-05-05,2025-09-11,1250000,0,Cancelled
PRJ054,D006,Data Warehouse 54,2025-05-15,2025-06-18,550000,440000,Completed
PRJ055,D006,ERP Upgrade 55,2025-10-09,2026-12-31,1850000,2180000,Running
PRJ056,D004,HRMS Implementation 56,2025-02-02,2026-12-31,850000,880000,Running
PRJ057,D003,Security Enhancement 57,2025-08-29,2025-11-05,2600000,0,Cancelled
PRJ058,D008,Data Warehouse 58,2025-09-10,2026-03-07,550000,490000,Delayed
PRJ059,D005,Compliance Audit 59,2025-10-15,2025-12-26,2950000,3210000,Completed
PRJ060,D005,Security Enhancement 60,2025-07-15,2025-10-06,750000,800000,Completed
PRJ061,D005,Security Enhancement 61,2025-10-21,2026-03-27,2000000,1750000,Completed
PRJ062,D001,Security Enhancement 62,2025-07-13,2025-08-19,400000,470000,Completed
PRJ063,D002,CRM Rollout 63,2025-09-09,2026-12-31,500000,550000,Running
PRJ064,D007,CRM Rollout 64,2025-05-18,2025-08-19,700000,660000,Completed
PRJ065,D008,ERP Upgrade 65,2025-09-26,2026-01-15,1600000,1730000,Completed
PRJ066,D005,ERP Upgrade 66,2025-03-08,2025-04-12,750000,650000,Completed
PRJ067,D005,Data Warehouse 67,2025-06-14,2025-10-12,1850000,1530000,Completed
PRJ068,D002,CRM Rollout 68,2025-09-19,2026-12-31,2500000,2800000,Running
PRJ069,D001,Security Enhancement 69,2025-07-12,2025-11-24,2250000,2050000,Delayed
PRJ070,D004,Marketing Campaign 70,2025-10-01,2025-12-25,2000000,1800000,Completed
PRJ071,D006,Marketing Campaign 71,2025-04-03,2026-12-31,900000,870000,Running
PRJ072,D002,CRM Rollout 72,2025-03-10,2025-06-09,550000,540000,Completed
PRJ073,D002,Marketing Campaign 73,2025-08-11,2025-12-26,2550000,2240000,Completed
PRJ074,D007,HRMS Implementation 74,2025-01-10,2025-03-05,2450000,2510000,Completed
PRJ075,D002,Cloud Migration 75,2025-09-16,2026-01-11,2450000,2260000,Completed
PRJ076,D008,Automation Initiative 76,2025-02-24,2025-04-01,2050000,2440000,Completed
PRJ077,D008,Website Revamp 77,2025-03-17,2025-06-03,950000,860000,Completed
PRJ078,D005,Cloud Migration 78,2025-02-18,2025-08-15,2450000,2660000,Completed
PRJ079,D002,CRM Rollout 79,2025-06-17,2025-10-25,1900000,2070000,Completed
PRJ080,D004,Website Revamp 80,2025-07-11,2026-12-31,400000,370000,Running
