Revenue_ID,Department_ID,Revenue_Date,Revenue_Amount
REV0001,D001,2025-01-01,1500000
REV0002,D002,2025-01-01,950000
REV0003,D003,2025-01-01,2100000
REV0004,D004,2025-01-01,2600000
REV0005,D005,2025-01-01,1400000
REV0006,D006,2025-01-01,2200000
REV0007,D007,2025-01-01,1200000
REV0008,D008,2025-01-01,900000
REV0009,D001,2025-02-01,1515000
REV0010,D002,2025-02-01,959500
REV0011,D003,2025-02-01,2121000
REV0012,D004,2025-02-01,2626000
REV0013,D005,2025-02-01,1414000
REV0014,D006,2025-02-01,2222000
REV0015,D007,2025-02-01,1212000
REV0016,D008,2025-02-01,909000
REV0017,D001,2025-03-01,1530000
REV0018,D002,2025-03-01,969000
REV0019,D003,2025-03-01,2142000
REV0020,D004,2025-03-01,2652000
REV0021,D005,2025-03-01,1428000
REV0022,D006,2025-03-01,2244000
REV0023,D007,2025-03-01,1224000
REV0024,D008,2025-03-01,918000
REV0025,D001,2025-04-01,1545000
REV0026,D002,2025-04-01,978500
REV0027,D003,2025-04-01,2163000
REV0028,D004,2025-04-01,2678000
REV0029,D005,2025-04-01,1442000
REV0030,D006,2025-04-01,2266000
REV0031,D007,2025-04-01,1236000
REV0032,D008,2025-04-01,927000
REV0033,D001,2025-05-01,1560000
REV0034,D002,2025-05-01,988000
REV0035,D003,2025-05-01,2184000
REV0036,D004,2025-05-01,2704000
REV0037,D005,2025-05-01,1456000
REV0038,D006,2025-05-01,2288000
REV0039,D007,2025-05-01,1248000
REV0040,D008,2025-05-01,936000
REV0041,D001,2025-06-01,1575000
REV0042,D002,2025-06-01,997500
REV0043,D003,2025-06-01,2205000
REV0044,D004,2025-06-01,2730000
REV0045,D005,2025-06-01,1470000
REV0046,D006,2025-06-01,2310000
REV0047,D007,2025-06-01,1260000
REV0048,D008,2025-06-01,945000
REV0049,D001,2025-07-01,1590000
REV0050,D002,2025-07-01,1007000
REV0051,D003,2025-07-01,2226000
REV0052,D004,2025-07-01,2756000
REV0053,D005,2025-07-01,1484000
REV0054,D006,2025-07-01,2332000
REV0055,D007,2025-07-01,1272000
REV0056,D008,2025-07-01,954000
REV0057,D001,2025-08-01,1605000
REV0058,D002,2025-08-01,1016500
REV0059,D003,2025-08-01,2247000
REV0060,D004,2025-08-01,2782000
REV0061,D005,2025-08-01,1498000
REV0062,D006,2025-08-01,2354000
REV0063,D007,2025-08-01,1284000
REV0064,D008,2025-08-01,963000
REV0065,D001,2025-09-01,1620000
REV0066,D002,2025-09-01,1026000
REV0067,D003,2025-09-01,2268000
REV0068,D004,2025-09-01,2808000
REV0069,D005,2025-09-01,1512000
REV0070,D006,2025-09-01,2376000
REV0071,D007,2025-09-01,1296000
REV0072,D008,2025-09-01,972000
REV0073,D001,2025-10-01,1635000
REV0074,D002,2025-10-01,1035500
REV0075,D003,2025-10-01,2289000
REV0076,D004,2025-10-01,2834000
REV0077,D005,2025-10-01,1526000
REV0078,D006,2025-10-01,2398000
REV0079,D007,2025-10-01,1308000
REV0080,D008,2025-10-01,981000
REV0081,D001,2025-11-01,1650000
REV0082,D002,2025-11-01,1045000
REV0083,D003,2025-11-01,2310000
REV0084,D004,2025-11-01,2860000
REV0085,D005,2025-11-01,1540000
REV0086,D006,2025-11-01,2420000
REV0087,D007,2025-11-01,1320000
REV0088,D008,2025-11-01,990000
REV0089,D001,2025-12-01,1665000
REV0090,D002,2025-12-01,1054500
REV0091,D003,2025-12-01,2331000
REV0092,D004,2025-12-01,2886000
REV0093,D005,2025-12-01,1554000
REV0094,D006,2025-12-01,2442000
REV0095,D007,2025-12-01,1332000
REV0096,D008,2025-12-01,999000
